,fname,lname,tags,associations,subplots
0,Emin,Agalarov,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},"Russian, Campaign","Russia contacts, Manafort indictment"
1,Aras,Agalarov,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},"Russian, Campaign","Russia contacts, Manafort indictment"
2,Zainab,Ahmad,{'class': 'g-list-item Mueller Flynnplea Russiacontacts'},Prosecutor,"Flynn plea, Russia contacts"
3,Rinat,Akhmetshin,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},Russian-U.S.,"Russia contacts, Manafort indictment"
4,Ekim,Alptekin,{'class': 'g-list-item ForeignNational Flynnplea MuellerInterest'},Turkish,Flynn plea
5,Greg,Andres,{'class': 'g-list-item Mueller Manafortindictment Russiacontacts'},Prosecutor,"Manafort indictment, Russia contacts"
6,Stephen,Anthony ,{'class': 'g-list-item Trump Flynnplea Russiacontacts'},Attorney,"Flynn plea, Russia contacts"
7,Robert,Arakelian,{'class': 'g-list-item Other TheSteeledossier Russiacontacts MuellerInterest Congress'},Campaign,"The Steele dossier, Russia contacts"
8,Andrey,Artemenko,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest Congress'},"Ukrainian, Administration",Russia contacts
9,Dzheykhun Nasimi Ogly,Aslanov,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
10,Julian,Assange,{'class': 'g-list-item ForeignNational Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},"Australian, Campaign","Fake news, Stolen emails, Russia contacts"
11,Rush,Atkinson,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
12,Petr,Aven,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment Russiacontacts MuellerInterest Congress'},Russian,"The Steele dossier, Manafort indictment, Russia contacts"
13,James,Baker,{'class': 'g-list-item Other TheSteeledossier Congress'},FBI,The Steele dossier
14,Rudi,Bakhtiar,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
15,Scott,Balber,{'class': 'g-list-item Trump Russiacontacts'},Attorney,Russia contacts
16,Steve,Bannon,{'class': 'g-list-item Trump Stolenemails Fakenews Flynnplea Comeyfiring MuellerInterest Congress'},"Campaign, Transition, Administration","Stolen emails, Fake news, Flynn plea, Comey firing"
17,Tom,Barrack ,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},"Campaign, transition",Manafort indictment
18,Edward,Baumgartner,{'class': 'g-list-item Other TheSteeledossier Russiacontacts MuellerInterest Congress'},Fusion GPS,"The Steele dossier, Russia contacts"
19,Paul,Behrends,{'class': 'g-list-item Trump Russiacontacts'},Campaign,Russia contacts
20,Brian,Benczkowski,{'class': 'g-list-item Trump Russiacontacts Congress'},Administration,Russia contacts
21,Barry,Bennett,{'class': 'g-list-item Trump Russiacontacts'},Campaign,Russia contacts
22,Avi,Berkowitz,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews MuellerInterest Congress'},"Campaign, Transition, Administration","Russia contacts, Stolen emails, Fake news"
23,Marshall,Billingslea,{'class': 'g-list-item Trump Flynnplea Russiacontacts Congress'},Transition,"Flynn plea, Russia contacts"
24,Anna Vladislavovna,Bogacheva,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
25,Erik,Bolog,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
26,Andrey,Bondarev,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
27,Alexander,Bortnikov,{'class': 'g-list-item ForeignNational Stolenemails Russiacontacts Congress'},"Russian, FSB","Stolen emails, Russia contacts"
28,David,Bossie,{'class': 'g-list-item Trump'},Campaign,
29,Maria Anatolyevna,Bovda,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
30,Robert Sergeyevich,Bovda,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
31,Matt,Braynard,{'class': 'g-list-item Trump Stolenemails Fakenews'},Campaign,"Stolen emails, Fake news"
32,Donna,Brazile,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails'},DNC ,Stolen emails
33,Thomas,Breen,{'class': 'g-list-item Trump Russiacontacts'},Attorney,Russia contacts
34,John,Brennan,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Fakenews Congress'},CIA,"Stolen emails, Fake news"
35,Elliott,Broidy,{'class': 'g-list-item Other MuellerInterest'},Businessman,
36,William,Browder,{'class': 'g-list-item ForeignNational TheSteeledossier Congress'},British,The Steele dossier
37,Reginald,Brown,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
38,Andrew,Brown,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails'},DNC,Stolen emails
39,Mikhail Leonidovich,Burchik,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
40,William,Burck,{'class': 'g-list-item Trump Comeyfiring Flynnplea Stolenemails Russiacontacts Fakenews'},Attorney,"Comey firing, Flynn plea, Stolen emails, Russia contacts, Fake news"
41,James,Burnham,{'class': 'g-list-item Trump Comeyfiring MuellerInterest'},Attorney,Comey firing
42,Richard,Burt ,{'class': 'g-list-item Trump Russiacontacts'},Campaign,Russia contacts
43,Robert,Buschel,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews'},Attorney,"Russia contacts, Stolen emails, Fake news"
44,Mariia,Butina,{'class': 'g-list-item ForeignNational Fakenews Stolenemails Russiacontacts MuellerInterest Congress Indicted'},"Russian, Campaign","Fake news, Stolen emails, Russia contacts"
45,Chris,Byrne,{'class': 'g-list-item Trump Flynnplea RNCplatformchange Stolenemails Comeyfiring Congress'},"Campaign, Transition","Flynn plea, RNC platform change, Stolen emails, Comey firing"
46,Mikhail Ivanovich,Bystrov,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
47,Stephen,Calk,{'class': 'g-list-item Trump Manafortindictment MuellerInterest Congress'},Campaign,Manafort indictment
48,Michael,Caputo,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},Campaign,"Fake news, Stolen emails, Russia contacts"
49,John,Carlin,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Fakenews Congress'},Justice Department,"Stolen emails, Fake news"
50,Peter,Carr,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
51,Yuri,Chaika,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest'},Russian,Russia contacts
52,Witold,Chrabaszcz,{'class': 'g-list-item Trump Stolenemails Fakenews'},Campaign,"Stolen emails, Fake news"
53,Chris,Christie,{'class': 'g-list-item Trump Flynnplea'},"Campaign, Transition",Flynn plea
54,James,Clapper,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Congress'},Administration,Stolen emails
55,Rachel,Clattenburg,{'class': 'g-list-item Other TheSteeledossier'},"Attorney, Fusion GPS",The Steele dossier
56,Rick,Clay,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts Congress'},Campaign,"Fake news, Stolen emails, Russia contacts"
57,Hillary,Clinton,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Fakenews TheSteeledossier MuellerInterest Congress'},Clinton campaign,"Stolen emails, Fake news, The Steele dossier"
58,Sam,Clovis,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},"Campaign, Transition ","Fake news, Stolen emails, Russia contacts"
59,Dan,Coats,{'class': 'g-list-item Trump Comeyfiring Stolenemails MuellerInterest Congress'},Administration,"Comey firing, Stolen emails"
60,Ty,Cobb ,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
61,Barry,Coburn,{'class': 'g-list-item Trump Flynnplea Russiacontacts'},Attorney,"Flynn plea, Russia contacts"
62,Kendall,Coffey,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews'},Attorney,"Russia contacts, Stolen emails, Fake news"
63,Michael,Cohen,{'class': 'g-list-item Trump Russiacontacts Fakenews Stolenemails MuellerInterest Congress'},"Trump Org, Campaign","Russia contacts, Fake news, Stolen emails"
64,Ezra,Cohen-Watnick,{'class': 'g-list-item Trump Flynnplea'},Administration,Flynn plea
65,James,Comey,{'class': 'g-list-item Other Comeyfiring Flynnplea MuellerInterest Congress'},FBI,"Comey firing, Flynn plea"
66,Kellyanne,Conway,{'class': 'g-list-item Trump Stolenemails Flynnplea Comeyfiring Congress'},"Campaign, Administration ","Stolen emails, Flynn plea, Comey firing"
67,Christopher,Cooper,{'class': 'g-list-item Other TheSteeledossier Russiacontacts Congress'},Campaign,"The Steele dossier, Russia contacts"
68,Charles,Cooper,{'class': 'g-list-item Trump Comeyfiring Russiacontacts'},Attorney,"Comey firing, Russia contacts"
69,Mark,Corallo,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts MuellerInterest Congress'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
70,David,Corn ,{'class': 'g-list-item Other TheSteeledossier Congress'},Media,The Steele dossier
71,Hank,Cox,{'class': 'g-list-item Other Flynnplea MuellerInterest'},Witness,Flynn plea
72,Randy,Credico,{'class': 'g-list-item Other Stolenemails Fakenews Congress'},Campaign,"Stolen emails, Fake news"
73,Monica,Crowley,{'class': 'g-list-item Trump Flynnplea RNCplatformchange Russiacontacts Stolenemails Comeyfiring Congress'},"Transition, Administration","Flynn plea, RNC platform change, Russia contacts, Stolen emails, Comey firing"
74,Richard,Cullen,{'class': 'g-list-item Trump Flynnplea Russiacontacts Comeyfiring'},Attorney,"Flynn plea, Russia contacts, Comey firing"
75,Mark,Cymrot,{'class': 'g-list-item Other TheSteeledossier Russiacontacts Congress'},Attorney,"The Steele dossier, Russia contacts"
76,Amy,Dacey,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails'},DNC,Stolen emails
77,Tera,Dahl,{'class': 'g-list-item Trump Russiacontacts Congress'},"Campaign, Administration",Russia contacts
78,Rick,Dearborn,{'class': 'g-list-item Trump Russiacontacts Congress'},"Campaign, Transition, Administration",Russia contacts
79,Charles,Delavan,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails'},Clinton campaign,Stolen emails
80,Ron,Dellums,{'class': 'g-list-item Other TheSteeledossier Russiacontacts Congress'},Attorney,"The Steele dossier, Russia contacts"
81,Diana,Denman,{'class': 'g-list-item Trump RNCplatformchange'},Campaign,RNC platform change
82,Oleg,Deripaska,{'class': 'g-list-item ForeignNational Manafortindictment Russiacontacts MuellerInterest Congress'},"Russian, Campaign","Manafort indictment, Russia contacts"
83,Uttam,Dhillon,{'class': 'g-list-item Trump Comeyfiring MuellerInterest'},Administration,Comey firing
84,Ryan,Dickey,{'class': 'g-list-item Mueller Stolenemails Fakenews'},Prosecutor,"Stolen emails, Fake news"
85,Igor,Diveykin,{'class': 'g-list-item ForeignNational Russiacontacts TheSteeledossier Congress'},"Russian, Campaign","Russia contacts, The Steele dossier"
86,Kirill,Dmitriev,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest Congress'},Russian,Russia contacts
87,Dmitry,Dokuchaev,{'class': 'g-list-item ForeignNational Stolenemails Russiacontacts'},"Russian, Campaign","Stolen emails, Russia contacts"
88,Ann,Donaldson,{'class': 'g-list-item Trump Comeyfiring MuellerInterest'},Administration,Comey firing
89,Jack,Dorsey,{'class': 'g-list-item Other Fakenews Congress'},Tech executive,Fake news
90,John,Dowd,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
91,Alexander,Downer,{'class': 'g-list-item ForeignNational Russiacontacts Stolenemails'},Australian,"Russia contacts, Stolen emails"
92,Kevin,Downing,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
93,Michael,Dreeben,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
94,Michael,Dry,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
95,Marc,Elias,{'class': 'g-list-item ObamaofficialsandDemocrats TheSteeledossier Congress'},"Clinton campaign, DNC",The Steele dossier
96,Michael,Ellis,{'class': 'g-list-item Trump Flynnplea'},Administration,Flynn plea
97,David,Enders,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
98,Boris,Epshteyn,{'class': 'g-list-item Trump Stolenemails Congress'},Campaign,Stolen emails
99,Paul,Erickson,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts Congress'},"Campaign, Transition","Fake news, Stolen emails, Russia contacts"
100,Nigel,Farage,{'class': 'g-list-item ForeignNational Russiacontacts Stolenemails MuellerInterest'},British,"Russia contacts, Stolen emails"
101,Michael,Flynn,{'class': 'g-list-item Trump Flynnplea Russiacontacts Fakenews Stolenemails MuellerInterest Congress Guilty'},"Campaign, Transition, Administration","Flynn plea, Russia contacts, Fake news, Stolen emails"
102,Michael,Flynn Jr.,{'class': 'g-list-item Trump Flynnplea Russiacontacts MuellerInterest Congress'},"Campaign, Transition","Flynn plea, Russia contacts"
103,Robert,Foresman,{'class': 'g-list-item Other Fakenews Stolenemails Russiacontacts Congress'},Putin,"Fake news, Stolen emails, Russia contacts"
104,Kyle,Freeny,{'class': 'g-list-item Mueller Manafortindictment Russiacontacts'},Prosecutor,"Manafort indictment, Russia contacts"
105,Mikhail,Fridman,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment Russiacontacts MuellerInterest Congress'},Russian,"The Steele dossier, Manafort indictment, Russia contacts"
106,Peter,Fritsch,{'class': 'g-list-item Other TheSteeledossier Russiacontacts'},Fusion GPS,"The Steele dossier, Russia contacts"
107,Alan,Futerfas,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews'},Attorney,"Russia contacts, Stolen emails, Fake news"
108,Robert,Gage,{'class': 'g-list-item Other Russiacontacts'},Attorney,Russia contacts
109,Alan,Garten,{'class': 'g-list-item Trump Comeyfiring Congress'},Trump Org,Comey firing
110,Rick,Gates,{'class': 'g-list-item Trump Manafortindictment Russiacontacts MuellerInterest Congress Guilty'},Campaign,"Manafort indictment, Russia contacts"
111,Ben,Ginsberg,{'class': 'g-list-item Trump Stolenemails Russiacontacts'},Attorney,"Stolen emails, Russia contacts"
112,Rudy,Giuliani,{'class': 'g-list-item Trump Attorney Russiacontacts'},"Campaign, Administration","Attorney, Russia contacts"
113,Michael,Glassner,{'class': 'g-list-item Trump Stolenemails Fakenews'},Campaign,"Stolen emails, Fake news"
114,Andrew,Goldstein,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
115,Rob,Goldstone,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},British,"Russia contacts, Manafort indictment"
116,J.D.,Gordon,{'class': 'g-list-item Trump Russiacontacts Fakenews Stolenemails Manafortindictment RNCplatformchange MuellerInterest Congress'},Campaign,"Russia contacts, Fake news, Stolen emails, Manafort indictment, RNC platform change"
117,Jamie,Gorelick,{'class': 'g-list-item Trump Russiacontacts Flynnplea Manafortindictment'},Attorney,"Russia contacts, Flynn plea, Manafort indictment"
118,Oleg,Govorun,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
119,Rhona,Graff,{'class': 'g-list-item Trump Fakenews Stolenemails Congress'},"Trump Org, Campaign, Transition, Administration","Fake news, Stolen emails"
120,Thomas,Green ,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
121,Griffith,Green ,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
122,Jason,Greenblatt,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts Manafortindictment Congress'},"Trump Org, Campaign, Transition, Administration","Fake news, Stolen emails, Russia contacts, Manafort indictment"
123,Philip,Griffin,{'class': 'g-list-item Trump Manafortindictment RNCplatformchange Russiacontacts'},Campaign,"Manafort indictment, RNC platform change, Russia contacts"
124,Steven,Groves,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails"
125,Aleksej,Gubarev,{'class': 'g-list-item ForeignNational TheSteeledossier Stolenemails Manafortindictment Russiacontacts'},Russian,"The Steele dossier, Stolen emails, Manafort indictment, Russia contacts"
126,,Guccifer 2.0,{'class': 'g-list-item ForeignNational Stolenemails Russiancontacts MuellerInterest Congress'},Hacker,"Stolen emails, Russian contacts"
127,Alfred,Gusenbauer,{'class': 'g-list-item ForeignNational Manafortindictment Russiacontacts MuellerInterest'},Austrian,"Manafort indictment, Russia contacts"
128,Gary,Harrell,{'class': 'g-list-item Trump Russiacontacts Congress'},Campaign ,Russia contacts
129,Richard,Hibey,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
130,Hope,Hicks,{'class': 'g-list-item Trump Comeyfiring Flynnplea Stolenemails Russiacontacts MuellerInterest Congress'},"Trump Org, Campaign, Administration ","Comey firing, Flynn plea, Stolen emails, Russia contacts"
131,Sergei,Ivanov,{'class': 'g-list-item ForeignNational Stolenemails Fakenews Russiacontacts Manafortindictment Congress'},Russian,"Stolen emails, Fake news, Russia contacts, Manafort indictment"
132,Amy Berman,Jackson,{'class': 'g-list-item Other Manafortindictment'},Judge,Manafort indictment
133,Adam,Jed,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
134,Jeh,Johnson,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Fakenews Congress'},DHS,"Stolen emails, Fake news"
135,Chuck,Johnson,{'class': 'g-list-item Other Stolenemails Russiacontacts Congress'},Media,"Stolen emails, Russia contacts"
136,Mikhail,Kalugin,{'class': 'g-list-item ForeignNational Stolenemails TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"Stolen emails, The Steele dossier, Russia contacts, Manafort indictment"
137,Sergey,Karaganov,{'class': 'g-list-item ForeignNational Russiacontacts Congress'},"Russian, Campaign",Russia contacts
138,Marc,Kasowitz,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
139,Gregory,Katsas,{'class': 'g-list-item Trump Comeyfiring Russiacontacts'},Attorney,"Comey firing, Russia contacts"
140,Denis,Katsyv,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts MuellerInterest Congress'},Russian,"The Steele dossier, Russia contacts"
141,Pyotr,Katsyv,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest Congress'},Russian,Russia contacts
142,Ike,Kaveladze,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},Georgian/Russian,"Russia contacts, Manafort indictment"
143,Irina,Kaverzina,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
144,David,Kelley,{'class': 'g-list-item Other Comeyfiring'},Attorney,Comey firing
145,Keith,Kellogg,{'class': 'g-list-item Trump Russiacontacts Flynnplea MuellerInterest Congress'},"Campaign, Transition, Administration","Russia contacts, Flynn plea"
146,Robert,Kelner,{'class': 'g-list-item Trump Flynnplea Russiacontacts'},Attorney,"Flynn plea, Russia contacts"
147,German,Khan,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment Russiacontacts MuellerInterest Congress'},Russian,"The Steele dossier, Manafort indictment, Russia contacts"
148,Bijan,Kian,{'class': 'g-list-item Trump Flynnplea MuellerInterest Congress'},Transition,Flynn plea
149,Konstantin,Kilimnik,{'class': 'g-list-item ForeignNational Manafortindictment Russiacontacts MuellerInterest Congress Indicted'},Ukraine,"Manafort indictment, Russia contacts"
150,Sergey,Kiriyenko,{'class': 'g-list-item ForeignNational TheSteeledossier Stolenemails Manafortindictment Russiacontacts Congress'},Russian,"The Steele dossier, Stolen emails, Manafort indictment, Russia contacts"
151,Sergey,Kislyak,{'class': 'g-list-item ForeignNational TheSteeledossier Flynnplea Russiacontacts Comeyfiring Manafortindictment MuellerInterest Congress'},Russian,"The Steele dossier, Flynn plea, Russia contacts, Comey firing, Manafort indictment"
152,Sezgin Baran,Korkmaz,{'class': 'g-list-item ForeignNational Flynnplea MuellerInterest'},"Turkish, campaign",Flynn plea
153,Konstantin,Kosachev,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
154,Konstantin,Kozlovsky,{'class': 'g-list-item ForeignNational Stolenemails Russiacontacts'},Russian,"Stolen emails, Russia contacts"
155,David,Kramer,{'class': 'g-list-item Other TheSteeledossier MuellerInterest Congress'},Fusion GPS,The Steele dossier
156,Aleksandra Yuryevna,Krylova,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
157,Charles,Kubic,{'class': 'g-list-item Trump Russiacontacts Congress'},Campaign,Russia contacts
158,Jared,Kushner,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews Flynnplea Comeyfiring MuellerInterest Congress'},"Trump Org, Campaign, Transition, Administration","Russia contacts, Stolen emails, Fake news, Flynn plea, Comey firing"
159,Kory,Langhofer,{'class': 'g-list-item Trump Russiacontacts Manafortindictment Flynnplea MuellerInterest Congress'},Transition,"Russia contacts, Manafort indictment, Flynn plea"
160,Bryan,Lanza,{'class': 'g-list-item Trump Russiacontacts'},"Campaign, Transition",Russia contacts
161,Melissa,Laurenza,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},Attorney,Manafort indictment
162,Sergey,Lavrov,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment Russiacontacts Congress'},Russian,"The Steele dossier, Manafort indictment, Russia contacts"
163,Randi,Levinas,{'class': 'g-list-item Other Russiacontacts Congress'},Putin,Russia contacts
164,Joshua,Levy,{'class': 'g-list-item Other TheSteeledossier'},"Attorney, Fusion GPS",The Steele dossier
